job_id,title,employer,lang,english_flag,municipality,region,city,streetAddress,url,text_excerpt
30697900,Manager inom revision,People of Interim & Finance Sweden AB,en,False,,,,,,"Vill du ta nästa steg i din karriär inom revision och arbeta i en organisation med stark företagskultur, familjär stämning och ett tydligt kundfokus? Nu söker vi en erfaren Manager inom revision som vill vara med på en spännande tillväxtresa och bidra till att utveckla både verksamheten och kundrela..."
30697772,Customer Support Swedish Speaking - Full-Time (Hybrid Working in Malta),Besedo AB,en,False,,,,,,"Join a vibrant international team dedicated to making the Internet a safer place for everyone! Who are we?  Besedo is a tech company delivering Trust & Safety solutions to online marketplaces worldwide. Every year, we review and moderate over 500 million pieces of user-generated content and block mo..."
30697748,Application Support Engineer|Java Microservices +Camunda BPMN|,Infosys Technologies (Sweden) AB,en,False,,,,,,"Role –Application Support Engineer Technology – Java/Spring Boot microservices with Camunda BPMN/DMN, Kubernetes, Docker, CICD Location – Stockholm, Sweden Business Unit – ENGNE Compensation – Competitive (including bonus)   Job Description Today, the corporate landscape is dynamic and the world ahe..."
30697744,Senior Support Engineer| Telecom network inventory platforms,Infosys Technologies (Sweden) AB,en,False,,,,,,"Role –Technology Lead  Technology – KLIPP, and Tarantula/Red Cube, .NET/C# and MSSQL Location – Stockholm, Sweden Business Unit – ENGNE Compensation – Competitive (including bonus)   Job Description Today, the corporate landscape is dynamic and the world ahead is full of possibilities! None of the a..."
30697732,Infoblox NetMRI (NCCM) Consultant,Infosys Technologies (Sweden) AB,en,False,,,,,,"Role –Lead Consultant  Technology – Infoblox NetMRI (NCCM), Python and Perl Location – Stockholm, Sweden Business Unit – ENGNE Compensation – Competitive (including bonus)   Job Description Today, the corporate landscape is dynamic and the world ahead is full of possibilities! None of the amazing th..."
30697653,Entry-level Product Manager/Chemist – Dendrimers & Advanced Polymers,Polymer Factory Sweden AB,en,False,,,,,,"About Polymer Factory Polymer Factory Sweden AB is a Stockholm‑based company specializing in advanced dendritic materials, including bis‑MPA dendrimers and dendrons, for applications in life science, diagnostics, and advanced materials. We combine research‑driven product development with close colla..."
30697545,IT-säkerhetstekniker till Kammarkollegiet,Kammarkollegiet,sv,True,,,,,,Vill du vara en viktig kugge i vårt IT-säkerhetsarbete?  Har du lång erfarenhet av IT‑säkerhet och vill arbeta i en verksamhet där ditt arbete gör skillnad på riktigt? Vi söker en tekniker som vill bidra till att stärka vår digitala motståndskraft. Hos oss får du arbeta med komplexa utmaningar och v...
30697535,Dstny is looking for an Operations Engineer,Dstny Communication Solutions SWE AB,en,False,,,,,,"About the job Like the roots of a great oak tree, we want you to expand your roots horizontally as well as in-depth. At Dstny, we look for sharp minds, courageous forward-thinkers, fun lovers, kind hearts, and beautiful souls. Dstny Communication Solutions is the technological division of the Dstny ..."
30697564,IT Business Analyst,Eccera Professionals AB,en,False,,,,,,"För en av våra kunder i Stockholm söker vi en IT Business Analyst som trivs i en bred och verksamhetsnära roll. Här får du arbeta i en större IT miljö där du kombinerar kravhantering, analys och dialog med många olika delar av organisationen. Du som drivs av att förstå helheter, utforska behov och o..."
30697455,Service Implementation Specialist,Sinch Sweden AB,en,False,,,,,,"Sinch is pioneering the way the world communicates. More than 150,000 businesses — including Google, Uber, Paypal, Visa, Tinder, and many others — rely on Sinch’s Customer Communications Cloud to power engaging customer experiences through mobile messaging, voice, and email. Whether you need to veri..."
