job_id,title,employer,lang,english_flag,municipality,region,city,streetAddress,url,text_excerpt
30484631,Projektledare - Infrastrukturprogram (spårbunden trafik),Soros Consulting AB,sv,True,,,,,,Vi söker en erfaren och trygg projektledare till ett långsiktigt och samhällsviktigt uppdrag inom ett större investeringsprogram för spårbunden kollektivtrafik. Uppdraget bedrivs i en komplex programmiljö med flera parallella projekt i olika skeden – från tidig planering till genomförande och drifts...
30484619,Handläggare inom informationssäkerhet och säkerhetsskydd,Soros Consulting AB,sv,True,,,,,,Soros söker – Handläggare inom informationssäkerhet och säkerhetsskydd Uppdragets bakgrund   Soros söker nu en handläggare till ett uppdrag inom offentlig verksamhet med fokus på informationssäkerhet och säkerhetsskydd. Uppdraget är placerat i en större samhällsbärande organisation med ansvar för kr...
30484562,Soros söker Hållbarhetssamordnare,Soros Consulting AB,sv,True,,,,,,"Om uppdraget   Soros söker en biträdande hållbarhetssamordnare till ett omfattande och långsiktigt infrastrukturprojekt i tidigt skede. Uppdraget bedrivs inom en större beställarorganisation och omfattar planering, projektering och kommande genomförandeskeden. Projektet har höga ambitioner inom milj..."
30484497,"Machine Learning Engineer, Personalisation",Wolt Development Sverige AB,en,False,,,,,,"Wolt’s Personalization team is responsible for creating a tailored experience for Wolt’s customers across their shopping journey, helping them to discover the best restaurants, dishes or items that match their culinary and shopping preferences across multiple premises such as Discovery, In Venue or ..."
30484509,Software Engineer  Complex Interactions,Appostrophe AB,en,False,,,,,,"Join us in creating world-class creativity apps used by millions of people. Appostrophe builds design software used by millions of people. Our main product, SCRL, is a creative design app where users compose layouts, manipulate visual elements, and make designs through multi-touch interaction. Build..."
30484453,Handläggare - Informationssäkerhet,Centio Consulting Group AB,sv,True,,,,,,Vi söker Handläggare inom informationssäkerhet till en myndighet inom trafik. Detta är ett konsultuppdrag. Stationeringsort är Stockholm. Tjänsten är på heltid. Uppdraget innebär ett nära samarbete med kunden vilket ställer stora krav på flexibilitet och samarbetsförmåga. Uppdraget Som handläggare i...
30484443,Department Coordinator to the Stockholm School of Economics,Handelshögskolan i Stockholm,en,True,,,,,,"The Education Office (EdO) is one of the Professional Services units at SSE. We are currently about 50 staff members working in EdO. We function as a hub in the SSE journey. We provide and develop professional academic support for all stakeholders and students (BSc, MSc, PhD) during their SSE journe..."
30484340,Kundrelationsansvarig,Ellevio AB,sv,True,,,,,,"Är du redo för att hänga med på vår spännande resa? Ellevio är ett av Sveriges största energibolag och tillsammans fortsätter vi att elektrifiera Sverige. Hos oss är du en del av en trygg och viktig framtidsbransch samtidigt som du får möjlighet att göra skillnad, växa som individ och ha riktigt kul..."
30484370,Utredare - kunskapsbaserad socialtjänst,Stockholms kommun,sv,True,,,,,,"Stockholm – vår huvudstad med miljoner drömmar, förväntningar och ambitioner. Vi jobbar för alla som lever här idag och i framtiden. Nu söker vi dig som vill tänka stort, nytt och annorlunda med oss – för stockholmarna.  Socialförvaltningen i Stockholms stad har en övergripande och samordnande roll ..."
30484358,Calculation Engineer to company in the automotive industry - Södertälje,Perido AB,en,False,,,,,,"Are you passionate about advanced simulations and eager to contribute to the future of sustainable transport? In this assignment, you will work at the forefront of crash and CAE simulation within battery electric vehicle development at a world-leading company. You will join a highly skilled team in ..."
